kind	expected	url	policy
allowlist	true	https://graph.qq.com/oauth2.0/show?client_id=1	https://graph.qq.com/**|https://xui.ptlogin2.qq.com/path/**|https://y.qq.com/portal/wx_redirect.html**
allowlist	true	https://graph.qq.com/#login	https://graph.qq.com/**
allowlist	true	https://xui.ptlogin2.qq.com/path/login?state=a	https://xui.ptlogin2.qq.com/path/**
allowlist	true	https://y.qq.com/portal/wx_redirect.html?code=abc	https://y.qq.com/portal/wx_redirect.html**
allowlist	true	https://xui.ptlogin2.qq.com/other	https://xui.ptlogin2.qq.com/**
allowlist	false	http://graph.qq.com/oauth2.0/show	https://graph.qq.com/**
allowlist	false	https://graph.qq.com.evil.test/oauth2.0/show	https://graph.qq.com/**
allowlist	false	https://user@graph.qq.com/oauth2.0/show	https://graph.qq.com/**
allowlist	false	https://graph.qq.com:444/oauth2.0/show	https://graph.qq.com/**
allowlist	false	file:///etc/passwd	https://graph.qq.com/**
allowlist	false	javascript:alert(1)	https://graph.qq.com/**
callback	true	https://y.qq.com/portal/wx_redirect.html?code=abc&state=1	https://y.qq.com/portal/wx_redirect.html
callback	true	https://y.qq.com/portal/wx_redirect.html?login_type=1&code=abc&state=1	https://y.qq.com/portal/wx_redirect.html?login_type=1
callback	true	https://y.qq.com/portal/wx_redirect.html?state=a%20b&code=abc	https://y.qq.com/portal/wx_redirect.html?state=a+b
callback	true	https://y.qq.com/portal/wx_redirect.html?code=abc&state=1#complete	https://y.qq.com/portal/wx_redirect.html
callback	false	https://evil.test/?next=https://y.qq.com/portal/wx_redirect.html	https://y.qq.com/portal/wx_redirect.html
callback	false	https://y.qq.com.evil.test/portal/wx_redirect.html?code=abc&state=1	https://y.qq.com/portal/wx_redirect.html
callback	false	https://y.qq.com/portal/wx_redirect.html/extra?code=abc&state=1	https://y.qq.com/portal/wx_redirect.html
callback	false	https://y.qq.com/portal/wx_redirect.html?login_type=2&code=abc&state=1	https://y.qq.com/portal/wx_redirect.html?login_type=1
callback	false	https://y.qq.com/portal/wx_redirect.html?state=nonce&state=nonce&code=abc	https://y.qq.com/portal/wx_redirect.html?state=nonce
callback	false	http://y.qq.com/portal/wx_redirect.html?code=abc&state=1	https://y.qq.com/portal/wx_redirect.html
callback	false	https://user@y.qq.com/portal/wx_redirect.html?code=abc&state=1	https://y.qq.com/portal/wx_redirect.html
callback	true	https://y.qq.com/portal/wx_redirect.html?login_type=1&surl=https%3A%2F%2Fy.qq.com%2F&state=nonce&code=abc	https://y.qq.com/portal/wx_redirect.html?login_type=1&surl=https%3A%2F%2Fy.qq.com%2F&state=nonce
callback	false	https://y.qq.com/portal/wx_redirect.html	https://y.qq.com/portal/wx_redirect.html?login_type=1&surl=https%3A%2F%2Fy.qq.com%2F&state=nonce
callback	false	https://y.qq.com/portal/wx_redirect.html?login_type=1&surl=https%3A%2F%2Fy.qq.com%2F&state=wrong&code=abc	https://y.qq.com/portal/wx_redirect.html?login_type=1&surl=https%3A%2F%2Fy.qq.com%2F&state=nonce
